1 1 19
2 1 22
3 10 16
4 0 18
5 10 39
6 6 35
7 3 5
8 6 37
9 9 37
10 3 24
11 0 7
12 3 26
13 7 32
14 4 8
15 3 21
16 9 35
17 6 33
18 1 31
19 1 2
20 1 13
21 4 37
22 4 2
23 4 7
24 7 31
25 4 30
26 0 2
27 1 7
28 0 2
29 5 6
30 6 28
31 7 32
32 3 20
33 7 26
34 6 39
35 1 15
36 5 29
37 6 36
38 3 19
39 1 16
40 8 23
41 0 38
42 1 33
43 8 21
44 3 40
45 1 8
46 6 32
47 4 5
48 9 23
49 3 22
50 5 8
51 2 26
52 8 3
53 9 5
54 3 10
55 6 4
56 3 2
57 1 40
58 1 26
59 7 8
60 7 1
61 9 32
62 5 30
63 2 3
64 1 4
65 5 22
66 7 3
67 6 3
68 2 16
69 1 22
70 7 27
71 10 36
72 3 37
73 8 26
74 7 12
75 6 6
76 7 8
77 2 30
78 4 38
79 9 34
80 6 21
81 2 11
82 9 22
83 9 6
84 0 24
85 8 16
86 4 9
87 6 17
88 8 15
89 3 31
90 2 22
91 1 32
92 9 38
93 2 39
94 6 8
95 1 8
96 0 21
97 9 36
98 8 12
99 7 23
100 5 25
